"DATE";"QUANTITY"
01/01/11;0
01/02/11;0
01/03/11;303
01/04/11;177
01/05/11;548
01/06/11;376
01/07/11;319
01/08/11;59
01/09/11;0
01/10/11;265
01/11/11;368
01/12/11;362
01/13/11;277
01/14/11;341
01/15/11;174
01/16/11;0
01/17/11;298
01/18/11;318
01/19/11;474
01/20/11;407
01/21/11;449
01/22/11;155
01/23/11;0
01/24/11;299
01/25/11;500
01/26/11;281
01/27/11;488
01/28/11;432
01/29/11;133
01/30/11;0
01/31/11;247
02/01/11;381
02/02/11;322
02/03/11;422
02/04/11;380
02/05/11;89
02/06/11;0
02/07/11;401
02/08/11;437
02/09/11;455
02/10/11;361
02/11/11;385
02/12/11;137
02/13/11;0
02/14/11;289
02/15/11;351
02/16/11;463
02/17/11;291
02/18/11;468
02/19/11;166
02/20/11;0
02/21/11;242
02/22/11;439
02/23/11;422
02/24/11;375
02/25/11;362
02/26/11;124
02/27/11;0
02/28/11;207
03/01/11;476
03/02/11;373
03/03/11;370
03/04/11;329
03/05/11;148
03/06/11;0
03/07/11;228
03/08/11;345
03/09/11;331
03/10/11;311
03/11/11;381
03/12/11;173
03/13/11;0
03/14/11;243
03/15/11;372
03/16/11;368
03/17/11;373
03/18/11;352
03/19/11;121
03/20/11;0
03/21/11;279
03/22/11;389
03/23/11;380
03/24/11;406
03/25/11;411
03/26/11;93
03/27/11;0
03/28/11;253
03/29/11;370
03/30/11;464
03/31/11;383
04/01/11;362
04/02/11;148
04/03/11;0
04/04/11;290
04/05/11;469
04/06/11;400
04/07/11;444
04/08/11;398
04/09/11;158
04/10/11;0
04/11/11;348
04/12/11;340
04/13/11;379
04/14/11;360
04/15/11;315
04/16/11;155
04/17/11;0
04/18/11;306
04/19/11;386
04/20/11;362
04/21/11;390
04/22/11;125
04/23/11;0
04/24/11;0
04/25/11;0
04/26/11;352
04/27/11;339
04/28/11;358
04/29/11;258
04/30/11;217
05/01/11;0
05/02/11;162
05/03/11;227
05/04/11;405
05/05/11;448
05/06/11;450
05/07/11;92
05/08/11;0
05/09/11;283
05/10/11;422
05/11/11;421
05/12/11;353
05/13/11;533
05/14/11;76
05/15/11;0
05/16/11;291
05/17/11;386
05/18/11;379
05/19/11;381
05/20/11;394
05/21/11;87
05/22/11;0
05/23/11;233
05/24/11;384
05/25/11;411
05/26/11;422
05/27/11;318
05/28/11;126
05/29/11;0
05/30/11;258
05/31/11;276
06/01/11;354
06/02/11;136
06/03/11;316
06/04/11;187
06/05/11;0
06/06/11;323
06/07/11;364
06/08/11;359
06/09/11;464
06/10/11;378
06/11/11;139
06/12/11;0
06/13/11;0
06/14/11;375
06/15/11;506
06/16/11;386
06/17/11;382
06/18/11;79
06/19/11;0
06/20/11;272
06/21/11;350
06/22/11;349
06/23/11;318
06/24/11;311
06/25/11;66
06/26/11;0
06/27/11;266
06/28/11;346
06/29/11;454
06/30/11;365
07/01/11;323
07/02/11;106
07/03/11;0
07/04/11;323
07/05/11;378
07/06/11;337
07/07/11;381
07/08/11;343
07/09/11;68
07/10/11;0
07/11/11;289
07/12/11;349
07/13/11;398
07/14/11;421
07/15/11;317
07/16/11;117
07/17/11;0
07/18/11;238
07/19/11;380
07/20/11;364
07/21/11;361
07/22/11;373
07/23/11;88
07/24/11;0
07/25/11;261
07/26/11;352
07/27/11;430
07/28/11;315
07/29/11;371
07/30/11;94
07/31/11;0
08/01/11;226
08/02/11;315
08/03/11;301
08/04/11;262
08/05/11;386
08/06/11;93
08/07/11;0
08/08/11;224
08/09/11;290
08/10/11;301
08/11/11;263
08/12/11;307
08/13/11;75
08/14/11;0
08/15/11;228
08/16/11;252
08/17/11;258
08/18/11;276
08/19/11;286
08/20/11;73
08/21/11;0
08/22/11;172
08/23/11;258
08/24/11;369
08/25/11;351
08/26/11;339
08/27/11;120
08/28/11;0
08/29/11;244
08/30/11;184
08/31/11;252
09/01/11;425
09/02/11;235
09/03/11;169
09/04/11;0
09/05/11;309
09/06/11;283
09/07/11;581
09/08/11;289
09/09/11;379
09/10/11;133
09/11/11;0
09/12/11;242
09/13/11;350
09/14/11;364
09/15/11;327
09/16/11;442
09/17/11;71
09/18/11;0
09/19/11;264
09/20/11;379
09/21/11;380
09/22/11;354
09/23/11;383
09/24/11;91
09/25/11;0
09/26/11;281
09/27/11;420
09/28/11;322
09/29/11;415
09/30/11;413
10/01/11;119
10/02/11;0
10/03/11;0
10/04/11;421
10/05/11;475
10/06/11;413
10/07/11;417
10/08/11;107
10/09/11;0
10/10/11;279
10/11/11;354
10/12/11;390
10/13/11;403
10/14/11;346
10/15/11;143
10/16/11;0
10/17/11;304
10/18/11;399
10/19/11;386
10/20/11;354
10/21/11;341
10/22/11;120
10/23/11;0
10/24/11;270
10/25/11;412
10/26/11;381
10/27/11;410
10/28/11;344
10/29/11;131
10/30/11;0
10/31/11;203
11/01/11;267
11/02/11;298
11/03/11;401
11/04/11;325
11/05/11;79
11/06/11;0
11/07/11;263
11/08/11;419
11/09/11;455
11/10/11;432
11/11/11;362
11/12/11;146
11/13/11;0
11/14/11;304
11/15/11;408
11/16/11;403
11/17/11;428
11/18/11;363
11/19/11;113
11/20/11;0
11/21/11;315
11/22/11;387
11/23/11;344
11/24/11;405
11/25/11;377
11/26/11;120
11/27/11;0
11/28/11;270
11/29/11;357
11/30/11;394
12/01/11;402
12/02/11;466
12/03/11;99
12/04/11;0
12/05/11;279
12/06/11;394
12/07/11;382
12/08/11;524
12/09/11;357
12/10/11;144
12/11/11;0
12/12/11;321
12/13/11;395
12/14/11;395
12/15/11;417
12/16/11;499
12/17/11;206
12/18/11;0
12/19/11;366
12/20/11;379
12/21/11;455
12/22/11;548
12/23/11;390
12/24/11;59
12/25/11;0
12/26/11;0
12/27/11;176
12/28/11;122
12/29/11;234
12/30/11;168
12/31/11;13
01/01/12;8
01/02/12;8
01/03/12;307
01/04/12;183
01/05/12;550
01/06/12;380
01/07/12;328
01/08/12;63
01/09/12;2
01/10/12;269
01/11/12;369
01/12/12;368
01/13/12;286
01/14/12;342
01/15/12;181
01/16/12;8
01/17/12;306
01/18/12;320
01/19/12;475
01/20/12;414
01/21/12;454
01/22/12;158
01/23/12;4
01/24/12;304
01/25/12;506
01/26/12;286
01/27/12;495
01/28/12;434
01/29/12;135
01/30/12;9
01/31/12;253
02/01/12;14
02/02/12;11
02/03/12;305
02/04/12;189
02/05/12;551
02/06/12;386
02/07/12;327
02/08/12;64
02/09/12;14
02/10/12;278
02/11/12;380
02/12/12;376
02/13/12;282
02/14/12;355
02/15/12;184
02/16/12;14
02/17/12;301
02/18/12;328
02/19/12;480
02/20/12;411
02/21/12;459
02/22/12;159
02/23/12;2
02/24/12;308
02/25/12;509
02/26/12;290
02/27/12;497
02/28/12;443
02/29/12;142
03/01/12;6
03/02/12;251
03/03/12;385
03/04/12;334
03/05/12;430
03/06/12;382
03/07/12;91
03/08/12;6
03/09/12;413
03/10/12;448
03/11/12;457
03/12/12;363
03/13/12;396
03/14/12;148
03/15/12;15
03/16/12;293
03/17/12;356
03/18/12;471
03/19/12;306
03/20/12;479
03/21/12;176
03/22/12;1
03/23/12;253
03/24/12;449
03/25/12;427
03/26/12;380
03/27/12;377
03/28/12;136
03/29/12;6
03/30/12;209
03/31/12;489
04/01/12;383
04/02/12;374
04/03/12;342
04/04/12;157
04/05/12;1
04/06/12;235
04/07/12;357
04/08/12;339
04/09/12;312
04/10/12;388
04/11/12;176
04/12/12;4
04/13/12;254
04/14/12;384
04/15/12;373
04/16/12;379
04/17/12;362
04/18/12;132
04/19/12;5
04/20/12;292
04/21/12;393
04/22/12;383
04/23/12;413
04/24/12;422
04/25/12;94
04/26/12;6
04/27/12;258
04/28/12;378
04/29/12;474
04/30/12;385
05/01/12;376
05/02/12;150
05/03/12;5
05/04/12;294
05/05/12;470
05/06/12;410
05/07/12;445
05/08/12;410
05/09/12;172
05/10/12;15
05/11/12;359
05/12/12;352
05/13/12;381
05/14/12;373
05/15/12;317
05/16/12;170
05/17/12;9
05/18/12;308
05/19/12;389
05/20/12;373
05/21/12;397
05/22/12;128
05/23/12;6
05/24/12;14
05/25/12;12
05/26/12;364
05/27/12;340
05/28/12;362
05/29/12;265
05/30/12;227
05/31/12;10
06/01/12;163
06/02/12;237
06/03/12;420
06/04/12;451
06/05/12;453
06/06/12;102
06/07/12;13
06/08/12;287
06/09/12;430
06/10/12;424
06/11/12;366
06/12/12;543
06/13/12;82
06/14/12;15
06/15/12;303
06/16/12;399
06/17/12;380
06/18/12;394
06/19/12;396
06/20/12;101
06/21/12;14
06/22/12;234
06/23/12;391
06/24/12;414
06/25/12;434
06/26/12;331
06/27/12;138
06/28/12;6
06/29/12;271
06/30/12;291
07/01/12;364
07/02/12;145
07/03/12;322
07/04/12;189
07/05/12;14
07/06/12;329
07/07/12;371
07/08/12;360
07/09/12;466
07/10/12;380
07/11/12;146
07/12/12;12
07/13/12;1
07/14/12;389
07/15/12;519
07/16/12;389
07/17/12;385
07/18/12;94
07/19/12;7
07/20/12;274
07/21/12;364
07/22/12;354
07/23/12;328
07/24/12;314
07/25/12;69
07/26/12;3
07/27/12;273
07/28/12;352
07/29/12;459
07/30/12;373
07/31/12;334
08/01/12;114
08/02/12;6
08/03/12;333
08/04/12;390
08/05/12;339
08/06/12;388
08/07/12;354
08/08/12;71
08/09/12;7
08/10/12;304
08/11/12;352
08/12/12;409
08/13/12;431
08/14/12;327
08/15/12;129
08/16/12;12
08/17/12;245
08/18/12;393
08/19/12;370
08/20/12;362
08/21/12;386
08/22/12;92
08/23/12;7
08/24/12;265
08/25/12;356
08/26/12;441
08/27/12;320
08/28/12;374
08/29/12;107
08/30/12;9
08/31/12;233
09/01/12;323
09/02/12;313
09/03/12;266
09/04/12;396
09/05/12;104
09/06/12;2
09/07/12;233
09/08/12;295
09/09/12;312
09/10/12;267
09/11/12;317
09/12/12;83
09/13/12;10
09/14/12;232
09/15/12;263
09/16/12;269
09/17/12;277
09/18/12;294
09/19/12;77
09/20/12;13
09/21/12;178
09/22/12;271
09/23/12;372
09/24/12;356
09/25/12;342
09/26/12;134
09/27/12;13
09/28/12;256
09/29/12;187
09/30/12;264
10/01/12;438
10/02/12;247
10/03/12;182
10/04/12;6
